"","text"
"1380","  proses refund   selesai alasannya   proses  proses    uang     voucher      dibelanjakan"
"1381","pelayanan refundnya sungguh  mengecewakan sekalitau    beli tiket diaplikasi "
"1382","proses refundnya  berbelitbelit   kali mengajukan proses refund        kepastian   bukti mutasi rekening     tiket id  mengirim bukti transfer  uangnya  dikirim  rekening      uang   mohon diperbaiki  pelayanan refundnya"
"1383"," refund  ujungnya  tiket emd gak berguna     pelayanan  buruk aplikasi  untung  gak mikirin  "
"1384","ngajuin refund dr tgl april sampe hr  juni blom selesai  urusannya  pagi ditelp diinfokan klo voucher sdh dikirim  email tgl mei sya cek gak  email yg  eh sorenya nongol email menginfokan  refund  diajukan  maskapai    menunggu antrian pengirimannya yg    terkonfirmasi klo  telp paginya ngasih info menyesatkan   dikirim vouchernya payah layanannya mengecewakan"
"1385","pesan tiket kereta api tp kode boking gk   check inkomplain cs jawabannya tmbah   tdk ngasih solusi"
"1386"," pengajuan refund    wabah covid   balasan  secepatnya  koordinasikan   maskapai  diam menghilang   tolong kejelasannya  nomor pengaduan    kejelasan"
"1387","parah  tiket penerbangan  kuala namu medan pakai maskapai lion air jam    kebandara jam pesawat udah berangkat jam  keberangkatan tgl mei  tiket mahal   enaknya ganti jadwal tanoa bemberitahuan aplikasi merugikan  download aplikasi  nyari keuntungan  merugikan pelanggan udah customer care nya  hubungi  berbelit belit nanyain ga  gua ngrasa  pelanggan setia   manfaatin aja blokir aja "
"1388"," refund  berterima kasih  refundnya  refund   dapatkan   harga total   alasan pandemi    dihindarkan  mohon jawabannya kak  uangnya ga "
"1389","refund   orang    tolong status refundnya yg  tolong kembalikan uang orang  cepat kalo udah bankrut tutup aja  aplikasi   mengurangi korban yg "
"1390","the best app ever csnya parah responsifcepat"
"1391","  aplikasinya ok  semenjak vendor   jasa endors bintang ternama efeknya jd minim diskon  baiknya  spt dl"
"1392"," kecewa   refund pengajuan april  proses april tpi sampe  belom selesai udah dpt email nunggu  tpi  suruh nunggu lgkecewaa  semoga  refundnya uang  vocher"
"1393","refund  bgt ga sesuai perjanjian    maskapai   udah konfirm  maskapai jg  udah  diproses refund"
"1394"," senang  bahagia  aplikasi  bagus  tiket pesawat murah hotel   negara   sinisaya  pergi  negeri  malaysia singapura thailand  negara eropa  inggris swiss spanyol  jerman  denmark    negara  dunia inimantapp bintang  sepeda "
"1395","bedanya tix point  voucher  maskapai  ck  ga  dibelanjakan  beli pakai uang tunai dikembalikan voucher  bego proses refundnya jg trlalu  yg   refund  coba  skrg serba online   pakai antrian aplikasinya  lola teman  pesan  aplikasi  refundnya cepatuang dikembalikan maaf ya kalo membandingkan   kenyataan   kecewa   konsumen"
"1396","proses refund nya  sekalilebih dri bulanpercuma aja jualan fitur anti galau klo proses refund aja  banget sampe numpuk id order gak cairpadahal  terbang   requesr terbang  "
"1397","  tiket pesawat murah dibanding aplikasi yg  top dah"
"1398"," buruk  mengajukan refund  apl tertera       sesuai   langsung hubungi cs nya   cs nya  bilang gpp gak    perkiraan refund   kenyataannya   nunggu  kembaliin nya tetep    komplain     ajukan keluhan   secepatnya  proses   nunggu   tetep   pengembalian fullkasih kejelasan    "
"1399","tolong baca duluemang aplikasi  jeleknya  refund doank  super  gak kelar tauk uang   balikin  kagak udah ngajuin tgl april mei aja gak cair  hubungi cst suruh nunggu juni gimna   coba tolong baca  debelum  terlanjur"
"1400","  permainkan  refund dana tiket     kasih info dana refund   kirim    konsumen  gak tw  duit  transfer  belumsudah gk bsa cek mutasi rekeningwaspada"
"1401","pelayanan parah cs wa   membantu pengajuan refund     direfund  ditanyain max  kerja    ditanyain dananya    kerja dana  direfund    masi   kepastian  jawabannya langsung berubah refund  voucher    bertanggung   parah       prioritaskan  masi   dipastiin  refundnya baladan   payah"
"1402","pengajuan refund tanggal maret  cair tanggal mei   kalender itupun   follow up   medsos twitter udah terlanjur kecewa  udah terlanjur "
"1403"," lelet   x  ajukan permohonan refund    terealisasi  skrg   dimintak no rekening"
"1404"," bagus respon pengajuan refund yg   dijanjikan  maksimal    belom selesei  kecewa"
"1405","proses refund ya knapa lelet sekalipadahal  udah refund tgl april aturan berangkat tgl mei   blm  uang  dikembalikan diaplikasi my order pesanan y gak   udah hilangtolong bantuan ya knapa   "
"1406"," acungkan jempol  tiketcom yg  diskon  pesanan   sesuai  kebutuhan yg  delivery"
"1407","gausah pake app     rugi apk pengen untung doang udah  kebijakan pemerintah yg melarang penerbangan boro refound uang yg d kasih  voucher itupun gbsa d cairkan d pakai  cma   beli tiket  tpi gbsa pake nama  lgi  rute yg  kalo sisa hangus kalo   dsrb bayar  gausah d instal  app kya gini"
"1408","not recomended aplikasi  booking  aplikasi  terbayar  konfirmasi   dihotel dibilang   pesanan  nama   telp cs disarankan bayar publish rate  selisih   refund    rumah  ok  kluar duit bayar publish rate sampe   cs blom  menginfokan  uang refund   at least kirim bukti transf       bank  mengeceknya kesalahan    knapa  direpotkan lgi kecewa"
"1409","kecewa banget jdwl trbg april pengajuan refund tgl maret   blm ad kejelasan selesainya kpn proses refund utk penggantian dlm bentuk voucher  berlaku  bln april ya sy pengajuan  proses refund   bln maret smg tdk kmbali dlm bentuk voucher"
"1410","aplikasi   membantu    potongan harga tiket pesawat   bonus makan    membeli tiket kereta api  aplikasi "
"1411","buruk banget pengajuan refund krn pandemi corona udah sebulan  tpi   kembalikan jg dananya pengajuan tgl maret  tgl mei tpi keterangan   proses aja payah"
"1412"," nyaman memesan tiket  mudah  responnya  cepat"
"1413"," tiket pesanan pake aplikasi ponakan udh  nunggu koq jd voucher utk  voucher org butuhnya duit  voucher  lock down corona  butuh duit  tiket pp utk org makasar jkt jkt makasar"
"1414","aplikasi  tanggung  refun aja ribet dri minggu  bln boro  refund alhamdulillah  dapet janji kalo     tutup aja"
"1415","haduhkenapa  gini parah banget sumpah terbang tgl april  refund tgl april     kabar nya  sedih  gini kecewa berat "
"1416","proses refund      sebulan gada kabarnya   nominalnya  komitmen  diuji   mengecewakan"
"1417","aplikasi mengecewakantgl berangkat mei tpi   refund dri tanggal april  laporan refund  terima du tgl april ehh        proses h jam sesuai tgl keberangkatan  goblok kalo tau gitu ngapain  repot ngajuin refund     dana refund  ganti voucher heii lion air gblok bin tlol   butuh uang  butuh voucher gk  rugi banget lu pda"
"1418","pembatlan  maskapaiuang  dikalianuang costumer   kembalikan status refund  proses terussudah  "
"1419"," susah nya sih  tinggal refund dana tinggal transfer doang bikin kebijakan  seenak nya gini   beli tiket pake duwit knapa refund berbentuk saldo udah refund  potongan gede gak    cairkan pemerasan  nama nya"
"1420"," vocher   janjikan   proses refund        email masuk berkali hub cs  diproses     nihil anjink bgt bikin gua kecewa aplikasi tai merugikan custumer nyari keuntungan   pandemi bangsaaaat "
"1421","bener nyesel pesan tiket  biaya refund nya potongannya  dah gitu dikembalikan  bentuk voucher     kesalahan     bgt potongannya dah gitu nunggu prosesnya  besok males  pesen tiket  lg"
"1422","intinya aplikasi   sulit   mintain refund dana singkat cerita  boking hotel  aplikasi   hotel tutup kalo  tutup    keterangan tersedia  aplikator  murni kesalahan   aplikasi cuman  bener  persulit   dana   sih   kasih konfirmasi dana x jam  nunggu itupun email doang    dapet email  x jam  sampe  yok  laporin keluhan   playstore"
"1423"," jelekkkk n  buruk plyanannya  refund tiket sdh hmpr   skrg dana sungguh blum dkembalikann    kecewa  dar app apapun  shrusnya krna  approve awas ja klo da alsan  gw tuntut tmpt lu gue dtngin kntor lu gue sebar  medsoss"
"1424","aplikasi bagus  refund proses nya  refund cepat hubungin via whatsapp email cs  twitter"
"1425","nyesellll proses refund berbelit   refund  berbentuk voucher dgn kebijakan yg tdk mengungtungkan customer kapok   refund  maskapai langsung uang   potongan"
"1426","  pesen  sy tf tp gada  email masuk  etiket  gimana   uang  juta  hilang gitu aja    diperbaiki lg sistem nya jujur sy kecewa"
"1427"," kecewa pembatalan tiket nya  rumit  bertele tele   memesan  terimakasih"
"1428","proses refund        direfund cs alasannya kesana kesinilempar  lempar   "
"1429","pengalaman  buruk  responnya  lambat  gak direspon    adminnya icha  no  beli langsung  pengalaman buruk"
"1430","aplikasi yg  membantu menemukan layanan transfortasi  akomodasi yg handal"
"1431"," buruk pelayanan refund lambat   pandemi virus corona    online travel agent yg   mengecewakan"
"1432","trima kasih min refund  perihal pandemi corona   sebulan  diproses udah potongan    traveloka  proses refund      maskapai nya    dibales review  krn balesannya  copy paste  contekan "
"1433"," udah mengajukan pembatalan  refund tiket  tanggal april  pandemi corona      cair  ga  orang  nunggu   uang juta      ditengah pandemi   kena potongan  juta tolong cepat diproses  pelanggan pindah k aplikasi sebelah mengecewakan"
"1434","ditengah pandemi covid inimaskapai  pembatalan penerbanganpertanyaannya knapa refund tiket     sadis   ditukar refundnya  voucher dllitupun  bs ditukar  beli tiket lagiwoi tiketsaya butuh uangnya"
"1435"," direkomendasikan  janji refund tiket anti galau buktinya pemotongan  berubah   refund    iklan mulukmuluk pembohongan publik"
"1436"," mengecewakan pengembalian kerna pandemi   traveloka   pengembalian uang    prosesing pembelian  diproses   menit  giliran  wabah  pengembalian  dipersulit"
"1437","refund   banget peroses y dasar app yg lelet tolong   tim y   dimasa    emang gk  berangkat uang tiket y  disegera dikembalaikan karna orang  butuh uang"
"1438","proses refundnya    cs nya  membalasnya  lamaa mohon  perbaiki   kedepannya  "
"1439","aplikasi yg ngrugi in penumpang  pesan tg trs  refund sampe skrg gk  kejelasanya  tiket com nyesel pesen tiket "
"1440","terimakasih  ucapkan  devloper karna  aplikasi   proses travel  simpel   proses pembayaran  variatif recommended app "
"1441"," menyesal  beli tiket   pembatalan tiket uang tdk    apl ka aksess yg    musim corona gini  aja ga  kebijakan  "
"1442"," buruk  proses refund tiketnya  teman  marah sudab refund tiket   pekan  refund tiket nya   kembaliakan  janji nya   parah cs nya  hubungi  janji   "
"1443"," buruk  proses refund tiketnya    janji nya    refund  tanggal     kembalikan janjinya   kembalikan dlm bentuk voucher tiket  uang itupun   kembalikan  "
"1444","bagus pkenya gampang  pesanan dpt poinpoinnya  dpke   potongan hargakalo  keluhan  pertnyaan   d chat lwat wa customer care  responnya cepet"
"1445"," buruk layanan cs  refund ditengah pandemi corona  sulit   ditolak  refund tiket dlm kondisi normal    sulit dibandingkan online travel agent yg   jauhota yg   mudah  memfasilitasi refund dg alasan pandemi corona  ptkai  refund pertimbangkan   pengguna   reservasi  aplikasi "
"1446","proses refund  ber belit belit cs whatsapp  email jawabannya beda beda problem solvingnya ga  dama   refund  maskapai ditahan tahan ga  transfer  customer bad service"
"1447"," sya refund tiket sya tpi  proses   dtg email  refund   dr jam   d proses jam   refund nya  tgl smpek skrg blom  kepastian d tlpon  ngbisin pulsa puluhan ribu    respond  kejelasa by wa  d balas nyesel beli  d app  terkahir sya beli "
"1448","mantap   keren  klo langsung terhubung  dana"
"1449","better mending      aplikasi detail checkin check out gak  dongcuma tanggal doang giliaran udah dibayar etiketing nya   parahnya order jam nyesek  liat jam check out nya     kena  gua share dsni"
"1450","tiket com   refund tiket ko   ya  dlm  covid kaya gini   tggu minggu tolong diperbaiki yajgn bikin kapoknyesellllll pesen tiket  tiket comtinggal balikin uamg aja susah bgt   udh dipotong lbh  "
"1451"," kecewa  aplikasi  pengembalian dana refund tiket  menunggu   lu puterin  tu duit  lu balikin  yg  komplain  cs  nya ditangani  diselesaikan  berbelit belit emang  orang  nunggu ampe   dikembaliin jenis voucher    uang     beli tiket  yg  tanggal kadaluarsa nya ujung nya yg  lenyap tu duit karna hbs  berlaku nya  aplikasi lu jln krna konsumen "
"1452","  kecewa  pembatalan tiket ga   lakukan  onlinepadahal   virus corona  nya   menghindari penularan virus corona"
"1453","  bagus sya   bintang   menu pembayaran  cantumkan dana    pembayaran   mudah"
"1454","auto terhubung wa pd  pemesanan  prosesnya cepat"
"1455","cepat aksesnya  mudah nyarinya  murah harganya"
"1456","potongan refund tertalu     traveloka    alasannya  pandemi corona"
"1457","respon reschedule   gak  kepastian kejelasan tiket  buruk pelayanan jelek not recomend"
"1458","mudah   update info terbaru perubahan  maskapai semoga   nya       pelayanan  customer good deh "
"1459","  ngajukan refund tpi proses nya   lambat pdhal butuh biayax cepat pelayanan nya jga  memuaskan   melali wa kirain  aja yg merasakan trnyata customer  jga  "
"1460","klo  menwrima pendaftaran penginapan  cek  yg  penginapannya   hub     bayar giliran  hub pemilik apartmentnya     hub call center   refund  gagal  alasan  running   aja ga make kamarnya mengecewakan banget"
"1461","mudah banget pesennya tinggal klik doang kalo   ngadain event  voucher ya min"
"1462","apk nya tdk   bukapada   buka   suruh backhomeudah  coba berulang kali tpi   yg muncul backhome mulu"
"1463","  mengajukan refund  arahkan  cs nya  menu my order    buka my order pesanan         refund  wa   abaikan"
"1464","jujur aplikasi ni   recommended refund dg alasan no rek pemesan berbeda pdhl   no rek   knp ga dblack list no rek scr lgsg sblm  mmsukn no rek yg tdk sesuai dg nama pemesan  lg cs sngat tdk bersahabat cs  spt sngaja mematikan smbungan krn  bahas refund cs   berbelit  nanya to the point gmn refundny hrs pla pake surat kuasa  materai  lg refundny berkurang hy dganti pdhl    ajukan dgnti "
"1465"," tiket    pesen   ganti jadwal penerbangantpi  pas pembayaran  kehabisan    tiket    rifund  ganti penerbangan   tau  manah solusi nya"
"1466","layanan cs  whatsapp  telfon   tersambung    mengeluarkan pulsa    pas tersambung langsung putus  bikin kecewanya nada sambung telp cs  bilang maaf bikin menunggu   buktinya  menungu  pulsa ngendat"
"1467"," mengecewakan  refund hotel  sulit respon cs wa  berkali kali prtnyaannya samasekali  aja pake app initrimakasih"
"1468"," pembayaran  akulaku   gak muncul ya adakah    jam "
"1469","  baca  masukan  jdi batal utk pake aplikasi nya semoga pelayanan nya diperbaiki "
"1470"," kecewa  pelanyananya  refund tiket  aplikasi     direspon  coba hubungin  wa gak  responnomor wa yg tercantum dihapus aja klau   responsaya coba hubungin  telfon cs nya bertele ditelfon  kali cs nya respon berbeda    proses refund  kali     pesan tiket  aplikasi sampah "
"1471","  kali mnggunakan aplikasi  udh bnyak temanq bilang untk tdk mnggunakan aplikasi  tp sya  nekat tiket  dnyatakan kadarluwarsa pdahal pnerbangannya msh bln   jg sdang proses refund  kontak yg super duper lemot"
"1472","mantap    melaksanakan kenirja      refun   menunggu  dana  langsng   cepat terimakasih  bantuan nya sehat  admin saran    ngajukan refun   telpon  no nya  tertera karna  email   sayangkan  menunggu   karna faktr   saaat "
"1473","please stop penjualan tiket pesawat online   aplikasi   mendukung penyebab penyebaran virus covid "
"1474"," dah ga   pembayaran pake akulaku aplikasi ga bermutu udah payah aplikasi tiket   cari lg aplikasi yg  bayar pake akulaku"
"1475","sangt nyaman bertransaksi  mudaj berkomunikasi  cs nya proses refund  cepat  potongan refund sngt bersahabat"
"1476","aplikasi   bermasalah    menunggu  mengulangi pencarian penerbangan kesal   mengulang  menunggu  jam tp   proses refund berjalan lancar  butuh  layanan cs   "
"1477"," mohon   fitur tiket bus   aplikasinya  pengguna   nyaman  memakai aplikasinya"
"1478","sdh mengajukan refund smpe seminggu    proses jgk  hubungi via email telpon  wa  gak  respons rugi    aplikasi  gak  tanggung   "
"1479"," kecewa   konfirmasi  pemesanan tiket kereta    jam  solo   pembayaran     lupa utk foto   yg d  habis  langsung kadaluwarsa pemesannnya   konfirmasi   cs slow respon   malam sya wa ga  balas  email ga  balas  telfn   bilang   konfir pdahal   berngkat sore    apk sebelah   foto struk pembayaran etiket langsung terbit"
"1480","susah    sandi   kombinasi huruf simbol angka yg  ngak  satupun  diterima repot"
"1481","kecewa  proses refund susah ditelpon berulang ulang kali   kalimatnya  habis pulsa   email  ga  respon  wa  ga  respon aplikasi penipu"
"1482"," mencoba refund tiket penerbangan  pelayanan cs  buruk  telp cs   tersambung email  wa  terabaikan update menghubungi  fbtwitter    kode booking   disuruh menghubungi cs  telpemailwa"
"1483","tolong  membikin iklan yg gk  disilang menganggu"
"1484"," cs  email wa telpun       proses refund   lanjutan      lanjutan mohon    kendala    menunggu antrean  cs  gag   respon maaf  kasih bintang menunggu proses refund"
"1485","aplikasi jaringan penjualan tikar pesawat cepat koneksi sukses mantapprayogo prasetya"
"1486","  reschedule penerbangan    lwat telfon wa   dihubungi  slow respon  ngk dibalas telfon ngk diangkat      menghubungi "
"1487"," update   harga penerbangan  harga   penerbangan gak sesuai  situs resmi maskapai"
"1488","woy susah banget hubungi cs nya telf gak  sampe menit  nunggu  whatsapp gak   gue mo refund tiket juta  maskapai  utuh giliram cek  aplikasi  juta  bener ajeeee bossssss gilagg"
"1489"," kecewa refund tiket potongannya   slalu ambil keuntungan"
"1490"," keterangan dpt  ajukan penginapan yg  tujusetelah   proses booking tgl pd tgl    jga  batalkan dng keterangan refund akn msk  tix poin  nya  refund uang tdk dpt   tdk dpt msk  tix poin tdk   notifikasi refund  selesaiakan  gnti  tix poindan stlh   tgll jg  coba hub via whatsappemailtlp cs nya tdk  info utk  smpai pd akhirny  menunggu x jminti nya yg refund gak  bs  gitu"
"1491","nyesal  pake aplikasi  tiket refund  konser dewa sampe    pengembalian  hub  chat jawabanya  aja berulang kali parah  aplikasi"
"1492","kecewa refund susah bgt wa d bls   kalo  saran refund    masuk akun     kode booking  kode pemesanan  nomor tiket dll sy mengalami lupa pasword  email otp    terima  cepat  kadaluarsa  login   masuk akundi alihkan  email   info  cs   d lakukan  ribet  nasib uang yg  terlanjur masuk  "
"1493"," membantu cepat simple  langsung tinggal bayar  gerai"
"1494","refund  gak  gmn ni h keberangkatan   belom  proses  udah    ajukan  belom  prosessetelah proses  nunggu  disetujui"
"1495","kecewa   hubungi  telp berulang  email  wa  mencoba reschedule pesanan hotel      hangus  uang  klo  tnggalnya   layanan service jam"
"1496","lambatnya penangangan refundmelakukan panggilan  cs   whatsapp    balas   wabah covid ga  refund full"
"1497"," custumor service   hubungi gk  nyabung sampe pulsa habus rb tiket   cancel   maskapai    hangus ni aplikasi  lari      paytrend  parahhhhhhh"
"1498"," kecewa  mengajukan refund awalawal cs   merespon   hubungi via wa  email     cs  merespon     abik via wa  email    refund   kejelasan membatalkan refund      memblokir kontak  oke  kecewa"
"1499","  parah  beli tiket  nama  sunanto   uang udah tertrasfer  salah nominal pas  menghubungi via telp tdk  yg aktif  wa tdk dibalasdan  skrng blm  tindak lanjurnyauang  blm  kembalikan"
"1500"," coba transaksi tiket  kali tiket pesawat beserta asuransinya  bca insurance  pesawat  delay jam  kirim email  wa   layanan tiket   tanggapan   baiksimple aja  hehhehe"
"1501","   pakai tiket  pesan pesawattapi pas rifund respon  cs nya  lambat easudah sya belain nelfon cs mya  gk  responapa cs gk  yg jaga"
"1502","pemberitahuan refund  efektif  telfon cs    respon  mengecewakan"
"1503","app  merugikan  refund tiket pesawat tdk  respon trus   batalkan refund    hubungi customer servis   angkat   jam kerja"
"1504","apps  parah ni pesan hotelnya gampang pas pengajuan refund bsa tpi tdk terima  d  pembatalan refund jg g bsa pdahal bru bbrapa menit pelayanannya  remended   merugikan custumer jgn  pesan tiket hotel dll dsni klu g  rugi parah"
"1505"," diskon  bonus pointnya  kalo  refund rechedule  keluhan   langsung kontak whatsapp  respon cepatgood"
"1506","  bintang  nya manteb transaksi nya gk ribet pokonya bagus  wajib download "
"1507"," efektip  yg  suka  menentukan  yg diingkan"
"1508"," seharian aplikasinya buruk bangetmau pesan tiket susah "
"1509","mantap harga terjangkau  slalu membatu    mendesak   berangkat  tujuan yg  kehendaki"
"1510","sangaaaaaatttt mengecewakan  sdh beli tiket atraksi   pas  venue barcode nggak   scan  jd rugi  sdh bayar dr indonesia  traveling  nggak berguna"
"1511","menawarkan harga  murah  pelayanan  ramah"
"1512"," membantu   bepergian  kereta    memilih jam berangkat kereta kearah jakarta"
"1513","  pertahankan  ya mode pembayaran  transfer  jgn kyk aplikasi burung biru  ya mode pembayarannya payah  merepotkan"
"1514","suka  ni aplikasi  bingung  ketidak mengertian  ttang pemesanan    lgsung dama customernya udah gitu respon nya cepat  ramah bget top "
"1515","aplikasi  buruk  merugikan  orang    rebutan tiket kereta api lebaran     akses buruk buruk buruk ga bagus mending  tutup  aplikasinya"
"1516"," tf  no rekening yg tertulis    kode booking    email  konfrmasi dg id booking yg   no rek tujuan berbeda   tf  rekening  pas tlf cs  d proses   x jam rebutan tiket mah keburu abis tingkatkan pelayanan   mengecewakan pelanggan"
"1517","tampilan aplikasi berantakan dn harga  selisih  mahal dibanding traveloka  airy"
"1518","gak ribet mudah  tolong adakan potongan harga  pemesanan tiket kereta  membantu  terimakasih"
"1519","  mengecewakan  rebutan tiket kereta  aplikasi ny gak  d akses    jaringan g ga  buka aplikasi "
"1520","  klik lanjutkan  pembayaran reschedule   pembayaran orderan    pembayaran reschedulenya eror banget ni aplikasi"
"1521"," abis  update ga   buka ya   pengguna aktif ntar kalo udah   uka  tambahin bintangnya kecewa pas   gunain ga   buka"
"1522","server  kuat jam  pesen tiket ka  server down alhasil gadapet tiker beda  sebelah gakada down nya mohon ditingkatkan"
"1523","harga yg tercantum  kalendertanggal  sesuai harga tiket pesawatjdi  buka satugak efisien"
"1524","hak bngtzzgw dpet hrga promo udah  hoking cma slah nama paxmau   rubah gk bsa skli booking ulang hrga naikkgak bngtz aplikasi nya beda sma yg "
"1525","pas  pembayaran susah trs  loading  signal bagus"
"1526","gagal pesan  jam  sampe    sold out  gimana  pesan udah nunggu  jam  server  "
"1527"," mengecewakan ditungguin  jam malem udah nyoba berkali kali  gagal   full seat   mempermudah  mempersulit"
"1528","kecewa  nyari tiket kereta lebaran lemot bgt   gak  kebuka jawabannya   ditemukan    cari  lebaran    nyoba langsung  dapet  mah udh abis smua jg  gak  kebuka kecewa bgt pokoknya"
"1529","ga  mesen tiket kereta api nih tolong  perbaiki    membantu banget   pesen tiket kereta api"
"1530","aplikasi nya  akuratudah isi data  kaga  boxing ticket kerta"
"1531","min   isi datadiri tinggal proses pembayaran    error ya system nya   pemberitahuan    pemesanan     mohon feedback nya"
"1532"," banya booking error    pesen "
"1533"," pas liat tanggalnya harganya  jt an tpi pas  cari penerbangan  murah jt   ya mohon penjelasannya"
"1534","kasih bintang dulukalau pelayanan bagus   mengecewakan   bintang nya"
"1535","  kecewa   masukan kode voucher  pas  pembayaran  internet banking  gagal  keterangan  kadaluarsa  voucher   exp nya    ganti metode pembayaran  voucher        niat kasih voucher  php donk"
"1536"," praktishanya sayang tdk  paket pesawathotel"
"1537"," garis  aplikasi bagus  kekuranganya   ubah alamat email yg  terdaftar"
"1538"," ya  isi detail traveler  giliran pemesanan tiket ga  pilih  nama     detail traveler data penumpang  mohon arahannya min   biar ga ketik kali  isi data  penumpang"
"1539","loading aplikasi nya  lancar gak bikin keselcobain deh "
"1540","bagus cepat  mudah semoga promo tiket n hotel murahnya  "
"1541","pembayaran  ribet   email  ponsel   langsung operator buatlah  lengkap  pelanggan ga bingung  aplikasi  gitu nomor rekening  tertera    transaksi  mobil banking mohon solusi   pesan  bingung  transfer    mobil banking bsm bantu "
"1542","aplikasi gak   uang udah masuk tiketnya dibilang kadaluarsa nyesel beli tiket  aplikasi  sumpah"
"1543","aplikasi      instal app  disuruh  perbaharui  gak masuk akal   upgrade  pas dibuka  app nya  sja sma menyebalkan"
"1544"," memudahkan terimakasih semoga  jaya  kalo disediakan  utk aplikasi chek in onlinenya   mantap"
"1545","penanganan   disuruh bersabar   tertinggal pesawat tiket  terdaftar reservasi  maskapai"
"1546","    promonya menarik    promo penerbangan  syaratnya minimal transaksi jt     fitur langganan   kali yaa"
"1547","harga  murah  sayang fitur pembayarannya "
"1548","cepat info flight nya mudah  cepat ga ribet"
"1549","mesennya enak bgt milih hotelnya gampang  pilihansaran harga hotelnya kalo  murah  aplikasi  sengada lawan"
"1550","ditingkatkan lgklo bs  promo langsung muncul  transaksi pembayaran"
"1551"," lancar aman  ga   respon cepat   recomended  bijak"
"1552","aplikasi gak  suruh bikin password udah bikin berkali gk "
"1553","aplikasi apasih   loading doang ngga   aplikasi  lancar aja tuh"
"1554","aplikasi  berdesain elegan  menarik   terpercaya"
"1555","aplikasi nepu nepu  tiket citilink diinformasikan   promo diskon pas   pakai  gak     aplikasi udah versi  terbaru tp opsi masukkan kode promo gak   gak niat kasih promo gak  dipublikasi jijik"
"1556"," aplikasi  keren   bayar artis  iklan udah jdi yg terburuk"
"1557","nyesel pakai app  ngerefund dana     beralih  app  kalo   keluarga    males mamakai app  klo  beli tiket pesawat tiket kreta mesan hotel    app sebelah dibanding   mengecewakan "
"1558"," membantuproses cepat  disaat   sibuk beli tiket   antri"
"1559","mengecewakan kali jadwal penerbangan  reschedule     uang     terimakasih  kekecewaan  "
"1560"," membantu banyakin promo nya donk tambahkan fitur cek in ya"
"1561","harganya  murah dibanding  mohon  pertahankan pelayanan  harganya "
"1562"," stasiun nya gak lengkap mshbdaerah jawa aj gk smua stasiun  mohon  lengkapi trimakasih"
"1563"," berharap    membantu   vitur booking tiket kapal api"
"1564","friendly user  fitur resced   ganti destinasi  membantu"
"1565","  promo  transaksi   kode tiketnew eh pas  coba gak  dipakehadeh php"
"1566","   pesawat tpi   bayi kembar  anak  kemaren   cek bayi   melebihi penumpang dewasa bagaimna iasmntara bayi kembar   gendong sekaligusapa   konfirmasi lgi iabisa gk bayi   anak  tolong info nya  secept nya"
"1567","udah mantep banget pilihan fiturnya  beli bagasi tp   tambahkan pilihan kursi ya makasih"
"1568"," bersaing harganya   bersaing dgn aplikasi  yahh thx bos tanjung"
"1569","aplikasi   reset password aja susah  ampun kombinasi  smua kaga  tolol"
"1570","udah boking udah bayar  pas nyampe hotel gak  confirmasi  aplikasi  hmmm gmna coba kalo udah gini"
"1571"," bintang dlm     kota semoga harga tiket  tujuan tdk   yg   "
"1572"," membantu   mohon  tersedia   bank  indonesia but its oke    "
"1573"," mudah limit   lumayan    terburu buru"
"1574"," seneng banget   aplikasi  pilihan pembayaran nya beragam "
"1575"," membantu   traveling   repotrepot cari hotel"
"1576","uda edit  duduk  kereta apieh     duduk semulasebelum dibayar uda ok fix tmpt duduknya d gntiini mlah brubah k tmpt "
"1577","sukaa bangeet urusan pesan memesan pesawat kreta  hotel  gampaang pakek aplikasi inii yg lbh nyenengin  tix point nya  ditukar dgn macem voucher"
"1578","gak  pilih  duduk  kursi   mahal lasung dikasih  duduk  app nya  ribet   bersahabat fiturfiturnya  pengguna informasi    transit dimana   ditunjukan sepenuhnya    dicek "
"1579"," membantu prosesnya cepat tingkatkan "
"1580","semoga  aplikasi mudah  murah meriah   berjaya  membantu orang  sebgai aplikasi  bersaing"
"1581"," kalo  pesan     tp skrng  gk   udah  kali  coba jurusan pssenen walikukun gimana "
"1582","aplikasi yg  membantu penggunanya  travelling  negeri   negeri"
"1583","om kalo pesen tiket bayar ny  bank bsa nggamaaf  blm mengerti  pembayaran nymohon pencerahannya"
"1584"," terbantu  kasian kalo yg gaptek  penjelasan detail"
"1585","harga  bersahabat  syang voucer yg  pkai batas minimum utk hotel klu pesawat oke "
"1586","mudah efisien efektif check in slalu lancar"
"1587"," membantu   travelling  beli tiket pesawat     booking hotel trs dapet tix point  utk dipake jalan   spa keren banyakin promo  donk hehe"
"1588","knp  memunculkan harga terbaik pd    muncul harga  murah tp  dipilih tanggal harga murah tersebur     jd phpin  "
"1589"," senang pesan hotel   tiket com  mudah  cepat   hotel yg  pilih  menyenangkan bersih harum   area kuliner makanan pusat kota      mall suasananya nyaman   hidup "
"1590"," promo   fiturfitur  dimiliki aplikasi     detail       bingung  susah nyarinya       kali pakai    pakai promo tiket new  nggak  dipakai   nggak ngerti "
"1591","semoga kedepan ny tiket  murah  biar  pulng    bgasi ny"
"1592","maaf   ya  cari tiket kereta kereta jayakarta premium  bekasi  jombang     aplikasi booking tiket   mohon infonya"
"1593","simple   mudah  pemakaiannya keren pokoknya"
