"","text"
"194","aplikasi bagus   fitur payleaternya semoga  acc payleaternya"
"195","udh bayar  indomaret  pemesanan tiket timnas vs coracao  mahal gak  notip e tiket nya aduh nanya   costumer   ribet ribet hangus dh uang nya"
"196"," praktis  pesan kamar hotel  utk  yg   menghindari kondisi peak season  blm  nama tamu   tdk  pesan batal"
"197","gak  melanjutkan pembayaran loading terusan  sinyal full"
"198","terima kasih refund  berhasil    refund  eror kode otp  terkirim  inisiatif hubungi cs cari kontaknya fi playstore saran   bantuan  virtual assisten   pilihan hubungi cs langsung  virtual assisten    nya terbatas"
"199","tampilan metode pembayaran   menyusahkan kembalikan tampilan  "
"200","senang  pesan tiket  siniga perna  kendala"
"201"," buruk mengajukan payleter berbelitbelit permintaan datanya  data berhasil diinput eh pengajuan ditolak  penjelasan alasan penolakan jujur   applikasi  ribet ga  yg diluar  semoga data pribadi yg   input  bocor  kaepentingan oknum"
"202","saran   pakai aplikasi  aplikasi sengaja menjebak   keterang  bsa refund slsai membayar langsung transaksi gagal d karenakan harga berubah  kamar penuh mw cari untung tp merugikan org  coba kalo aplikasi bener aja  bnyak yg mw pke kalo sudh tulsan  bsa refund mnding gak  guys krna  sengaja   csri duit bad aplikasi"
"203","kode verifikasi  email bermasalah tolong diperbaiki"
"204","apps jelek suka banget reschedule jadwal   notif  pakai email   notif  whatsapp telpon  penumpang nya"
"205","tlong diakrifkan paylater  udah beli byk  gak  pke pay later"
"206","paylater nya  perbaikan   ya"
"207","cek koneksi mulu gue cek beneran jalan   aplikasi  doang yg ngga "
"208","  bagus harga  murah    refund enak langsung  rekening   bentuk voucher pertahankan"
"209","bagus   updated information   promo pokoknya   pesan tiket  tiket com"
"210"," harga menginap  hotel yg  pilih  mahal  wkt coba cek harga dipihak cs hotel langsung   murahselisih dr harga online x coba daftar payletter not approval  alasan   next klo   kriteria yg   munculkan icon payletter  kecewa"
"211","udah  tolak refund giliran  coba reschedule  gak  tolong  bantu   nyaman kalo gak   ubah jadwal penerbangan tolong  perbaiki "
"212","syusahhhh bgt otp dikirimnya wkwkwkkwkw jd gak  deh daftar pake ktp "
"213","aplikasi  buruk  emang aplikasi   berkoordinasi   hotel    pesan khusus  jamber  aja full   sesuai ketentuan hotel hilangkan   fiturnya    harga ttp     sesuai ketentuan hotel pas   refund  ga diizinkan  gila  ga pakai hotelnya samsek kembaliin dana    rekomen guys"
"214"," niat jual tiket ngak sih  aplikasi mentok  lanjutkan pemesanan doang  web   first impresion nya udah bgini banget "
"215","harga hotel  aplikasi  sesuai  harga hotelnyakarna udh kmi konfirmasi   hoteludah  bilang sistem nya  perbaiki tpi  nya  diresponse    tertipu gara gara apk  karna harga  apk   hotel langsung berbeda"
"216","jelek  cs nya nungui  cs  butuh menit   itupun ngak  kejelasan sumpah jelek"
"217","maling duit resepsi  apk nya kebijakan   tertera tp dilimpahkan  coustemer bego dasar"
"218"," nominal      hak  tolong kembalikan ya udah tau  komen  jelek napa  gw  download ginian  nya gw kena jug refund  pengembalian max   berbulan"
"219","download karna abis liat prediksi semoga appnya bagus"
"220","  account    menu smart pay   menghapus data   "
"221","tiket paylater  aktif  semntara tagihan ga  yg telat"
"222","anjig  asuransi penuh  kerusakan bagasi gk  konfirmasi   ribet   mending tutup aja kau udh"
"223"," aplikasinya    bayar paylater akibatnya  telat  mohon konfirmasinya bayarnya   alfa    bank   coba gak  mohon konfirmasinya secepatnya    perubahan mohon infokan"
"224","bagus banget harga tiket    murah dibanding yg "
"225","tolonglah   harga tiket pesawat  ringan   kasian  masyarakat    yg  perjalanan    murah  yg "
"226","   membantu "
"227","fitur nomor ponsel   diubah gimana   ganti nomor ponsel tp  aplikasi   diganti metode pembayaran  oneklik  ovo tolong diperbaiki    menyimpan metode pembayaran yg  mencoba pakai metode pembayaran kartu  pembayaran seringkali   pesanan otomatis menunggu pembayaran  kali   jd  tolong sm saudara   booked  aplikasi inimenyusahkan"
"228"," bagus pelayanannya  memuaskan  membantu"
"229","iklan aplikasi  mengganggu aktifitas  hp  tlg jgn rekomendasikan  sayakrn  tdk   pesawat  menginap  hitel kalo  perlukan biar  pedan  manual"
"230"," udh booking hotel dngan permintaan khusus check in jam pgi check out jam pgi karna perjalanan malam sy smpe hotel tdk bsa check in  nunggu jam  permintaan khusus  tergantung  hotel   ga n sya g tau hotelnya   ga sya check in jam segitu  g  konfirmasi dlu k konsumen kalo g bsa check in jam sgtu jdi  hotel  app tiket tdk trsnparan"
"231","pelayanan  cs  ramah   sat set  kasih bintang "
"232","mudah  harga  murah"
"233","aplikasi    recommend  refund dsuruh bkin surat kuasa n sgla mcemdiperibet batas  hny  lwat dr  msuk point pikir  org kaya kali   pke surat kuasa  pdhal  duit sy sndiri  beliinny  ortu ngga  lngsung cek transferan dananya  kah  yg  mndingan pke apk     merugikan layanan  bagus"
"234","  sayang    pembayaran  gagal ya kak"
"235"," nyaman     apk  refund giliran ajuin gabisa  giliran reschedul  plus  refund sisaa pembayaran payah   hapus aja"
"236","aplikasinya parah pesen harga kamar giliran nayar harga rb payahh aplikasinya  kagk   batalin kalo  mesen"
"237","apk nya bagus banget  tolong transaksi  bank bri  sediakan ya biar mempermudah pembayaran  penggunaan paylatter tolong perbanyak kaitkan bank nya terimakasii"
"238","proses refund cepat cs ramah  responsif"
"239","pesan  tgl tiketnya yg  kirim  tgl karna gak  baca  ahirnya  tolak  bandara karna tiket  tgl  rifan potong  rescedul nambah    merugikan rugi materi rugi pekerjaan dll pokoknya  trahir pakai apk  gak bertanggung   gak  solusi"
"240","  check out pembayaran   prosesnya   pesan tiket pesawat  promo"
"241","pengembalian refound yg cepat donkmasa smpe dikasih    seminggujaman sdh canggihkita bicara sistembukan  manual setorsekian perdetik transfer hrsnya selesai "
"242","jaminan harga termurah bohong doang klaim nya ga  jelasin  kirim screenshot   tau  tolak pas  kirim screenshot sesuai yg   alesannya  x klaim ga niat banget rugi beli  tiket ga  buru  bandingin harga    harga ota   tiket nyesel ga bandingin harga dl  beli mlm lg ribet klaim  tp ga  hasilnya uninstall"
"243"," event streaming   ditingkatkan  kualitasnya   banget loading  sinyal aman kouta "
"244","bagus murah  mudah"
"245","pesan hotel bintang stlh pmbayaran brhasil  bs  diinfokan tipe kamar yg dipilih penuh hbs  ditawarkan tipe kmr yg  dibawah rate  refund yg memakan   hitungan "
"246"," banget proses refound nya    butuh duitnya  keperluan  "
"247","aplikasinya  nyaman  pesanan yg  masuk  tahap pembayaran   dibatalkan   batal otomatis juka  pembayaran  habis  kadang  masuk  tahap pembayaran   promo  yg  "
"248"," salah ketik nama anak    saran  me refund    enak  cari uang"
"249"," membantu   sy   refund point mengecewakan"
"250","aplikasi jelek ndak  pesan hotel  bayar  hotel  pesanan blm masuk timnya payah servis payah customer care payah"
"251","bagus  cepat respon"
